Arrival rate1D,Finish rate1D,Num of unique resource1D,Process active time1D,Service time per case1D,Time in process per case1D,Waiting time in process per case1D,Num in process case1D
180,180,2,183.9,0.3842054263565894,1.069186046511628,0.6849806201550384,0
147,147,2,132.69999999999996,0.4011337868480725,0.902721088435374,0.5015873015873014,0
160,160,2,161.15,0.4146875000000001,1.0071875,0.5925,0
116,116,2,102.34999999999998,0.4541666666666669,0.8823275862068963,0.4281609195402294,0
94,94,2,84.16666666666664,0.5007092198581564,0.8953900709219855,0.3946808510638291,0
147,147,2,128.83333333333331,0.4172374429223746,0.8824200913242007,0.4651826484018261,0
117,117,2,101.33333333333336,0.4152421652421655,0.8660968660968664,0.4508547008547009,0
117,117,2,106.46666666666668,0.3878917378917382,0.90997150997151,0.5220797720797719,0
117,117,2,106.1166666666667,0.4126780626780629,0.9069800569800572,0.4943019943019943,0
117,117,2,109.86666666666667,0.4029914529914534,0.9390313390313392,0.5360398860398856,0
117,117,2,108.55000000000004,0.4263532763532766,0.927777777777778,0.5014245014245016,0
117,117,2,109.03333333333332,0.4112535612535616,0.931908831908832,0.5206552706552703,0
117,117,2,109.49999999999996,0.4148148148148152,0.9358974358974356,0.5210826210826205,0
117,117,2,106.40000000000003,0.4188034188034188,0.9094017094017096,0.4905982905982909,0
117,117,2,103.86666666666667,0.3839031339031342,0.8877492877492879,0.5038461538461536,0
117,117,2,107.75,0.3753561253561257,0.9209401709401712,0.5455840455840454,0
117,117,2,102.14999999999998,0.4129629629629633,0.8730769230769229,0.4601139601139595,0
117,117,2,110.81666666666668,0.3807692307692312,0.9471509971509972,0.5663817663817661,0
117,117,2,104.26666666666672,0.4011396011396013,0.8911680911680916,0.4900284900284902,0
117,117,2,116.00000000000004,0.4118233618233624,0.9914529914529916,0.5796296296296293,0
117,117,2,106.31666666666663,0.4017094017094019,0.9086894586894584,0.5069800569800565,0
117,117,2,110.08333333333334,0.4257834757834761,0.940883190883191,0.5150997150997148,0
117,117,2,111.15000000000006,0.4360398860398862,0.9500000000000004,0.5139601139601142,0
117,117,2,106.6166666666667,0.4061253561253565,0.9112535612535616,0.5051282051282051,0
117,117,2,106.74999999999994,0.4095441595441598,0.912393162393162,0.502849002849002,0
117,117,2,95.21666666666668,0.3962962962962966,0.8138176638176638,0.4175213675213672,0
117,117,2,106.88333333333335,0.4021367521367524,0.9135327635327636,0.5113960113960113,0
117,117,2,112.06666666666666,0.4205128205128207,0.9578347578347578,0.5373219373219371,0
117,117,2,116.91666666666671,0.4096866096866098,0.9992877492877495,0.5896011396011398,0
117,117,2,109.76666666666668,0.4163817663817667,0.9381766381766382,0.5217948717948715,0
117,117,2,108.76666666666674,0.3675213675213679,0.9296296296296302,0.5621082621082624,0
