act_DoneDriverReq_avg_arrival,act_DoneDriverReq_avg_duration,act_DoneDriverReq_whole_duration,act_DoneDriverReq_avgwaiting_time,act_DoneDriverReq_wholewaiting_time,act_DoneDriverReq_waiting_events,act_DoneDriverReq_finished_events,act_DoneDriverReq_idle_time,act_DoneDriverReq_inprocess_events,act_DoneDriverReq_unique_resources,act_DoneDriverReq_engaged_resources
34,0.0,0.0,0.0,0.0,0,34,0.1811111111111111,0,1,34
62,0.0,0.0,0.0,0.0,0,62,0.18055555555555555,0,1,62
64,0.0,0.0,0.0,0.0,0,64,0.15611111111111112,0,1,64
75,0.0,0.0,0.0,0.0,0,75,0.16166666666666665,0,1,75
20,0.0,0.0,0.0,0.0,0,20,0.41833333333333333,0,1,20
37,0.0,0.0,0.0,0.0,0,37,0.2947222222222222,0,1,37
36,0.0,0.0,0.0,0.0,0,36,0.2733333333333333,0,1,36
47,0.0,0.0,0.0,0.0,0,47,0.16805555555555557,0,1,47
43,0.0,0.0,0.0,0.0,0,43,0.26861111111111113,0,1,43
41,0.0,0.0,0.0,0.0,0,41,0.19333333333333333,0,1,41
35,0.0,0.0,0.0,0.0,0,35,0.31166666666666665,0,1,35
66,0.0,0.0,0.0,0.0,0,66,0.15944444444444444,0,1,66
45,0.0,0.0,0.0,0.0,0,45,0.19166666666666668,0,1,45
46,0.0,0.0,0.0,0.0,0,46,0.17333333333333334,0,1,46
62,0.0,0.0,0.0,0.0,0,62,0.18055555555555555,0,1,62
56,0.0,0.0,0.0,0.0,0,56,0.16416666666666666,0,1,56
64,0.0,0.0,0.0,0.0,0,64,0.16972222222222222,0,1,64
52,0.0,0.0,0.0,0.0,0,52,0.18194444444444444,0,1,52
31,0.0,0.0,0.0,0.0,0,31,0.23222222222222222,0,1,31
36,0.0,0.0,0.0,0.0,0,36,0.2802777777777778,0,1,36
41,0.0,0.0,0.0,0.0,0,41,0.2633333333333333,0,1,41
61,0.0,0.0,0.0,0.0,0,61,0.1661111111111111,0,1,61
50,0.0,0.0,0.0,0.0,0,50,0.2325,0,1,50
59,0.0,0.0,0.0,0.0,0,59,0.1802777777777778,0,1,59
44,0.0,0.0,0.0,0.0,0,44,0.2061111111111111,0,1,44
37,0.0,0.0,0.0,0.0,0,37,0.2536111111111111,0,1,37
55,0.0,0.0,0.0,0.0,0,55,0.19583333333333333,0,1,55
58,0.0,0.0,0.0,0.0,0,58,0.16722222222222222,0,1,58
68,0.0,0.0,0.0,0.0,0,68,0.1827777777777778,0,1,68
28,0.0,0.0,0.0,0.0,0,28,0.235,0,1,28
32,0.0,0.0,0.0,0.0,0,32,0.3375,0,1,32
43,0.0,0.0,0.0,0.0,0,43,0.22777777777777777,0,1,43
45,0.0,0.0,0.0,0.0,0,45,0.20444444444444446,0,1,45
27,0.0,0.0,0.0,0.0,0,27,0.3883333333333333,0,1,27
46,0.0,0.0,0.0,0.0,0,46,0.18055555555555555,0,1,46
37,0.0,0.0,0.0,0.0,0,37,0.30722222222222223,0,1,37
44,0.0,0.0,0.0,0.0,0,44,0.21916666666666668,0,1,44
53,0.0,0.0,0.0,0.0,0,53,0.17222222222222222,0,1,53
39,0.0,0.0,0.0,0.0,0,39,0.28444444444444444,0,1,39
47,0.0,0.0,0.0,0.0,0,47,0.17222222222222222,0,1,47
36,0.0,0.0,0.0,0.0,0,36,0.31083333333333335,0,1,36
56,0.0,0.0,0.0,0.0,0,56,0.16722222222222222,0,1,56
40,0.0,0.0,0.0,0.0,0,40,0.21861111111111112,0,1,40
43,0.0,0.0,0.0,0.0,0,43,0.22805555555555557,0,1,43
42,0.0,0.0,0.0,0.0,0,42,0.23555555555555555,0,1,42
30,0.0,0.0,0.0,0.0,0,30,0.29,0,1,30
36,0.0,0.0,0.0,0.0,0,36,0.21555555555555556,0,1,36
35,0.0,0.0,0.0,0.0,0,35,0.23805555555555555,0,1,35
35,0.0,0.0,0.0,0.0,0,35,0.24833333333333332,0,1,35
44,0.0,0.0,0.0,0.0,0,44,0.1836111111111111,0,1,44
44,0.0,0.0,0.0,0.0,0,44,0.23055555555555557,0,1,44
45,0.0,0.0,0.0,0.0,0,45,0.2338888888888889,0,1,45
32,0.0,0.0,0.0,0.0,0,32,0.2822222222222222,0,1,32
33,0.0,0.0,0.0,0.0,0,33,0.21388888888888888,0,1,33
32,0.0,0.0,0.0,0.0,0,32,0.2569444444444444,0,1,32
39,0.0,0.0,0.0,0.0,0,39,0.21333333333333335,0,1,39
37,0.0,0.0,0.0,0.0,0,37,0.23194444444444445,0,1,37
37,0.0,0.0,0.0,0.0,0,37,0.23194444444444445,0,1,37
34,0.0,0.0,0.0,0.0,0,34,0.24083333333333334,0,1,34
50,0.0,0.0,0.0,0.0,0,50,0.1875,0,1,50
40,0.0,0.0,0.0,0.0,0,40,0.22944444444444445,0,1,40
38,0.0,0.0,0.0,0.0,0,38,0.23444444444444446,0,1,38
40,0.0,0.0,0.0,0.0,0,40,0.2263888888888889,0,1,40
40,0.0,0.0,0.0,0.0,0,40,0.21833333333333332,0,1,40
47,0.0,0.0,0.0,0.0,0,47,0.20027777777777778,0,1,47
44,0.0,0.0,0.0,0.0,0,44,0.23,0,1,44
37,0.0,0.0,0.0,0.0,0,37,0.2613888888888889,0,1,37
40,0.0,0.0,0.0,0.0,0,40,0.22972222222222222,0,1,40
46,0.0,0.0,0.0,0.0,0,46,0.1925,0,1,46
52,0.0,0.0,0.0,0.0,0,52,0.18,0,1,52
43,0.0,0.0,0.0,0.0,0,43,0.23666666666666666,0,1,43
32,0.0,0.0,0.0,0.0,0,32,0.26805555555555555,0,1,32
56,0.0,0.0,0.0,0.0,0,56,0.17027777777777778,0,1,56
29,0.0,0.0,0.0,0.0,0,29,0.32083333333333336,0,1,29
36,0.0,0.0,0.0,0.0,0,36,0.2975,0,1,36
