act_ProcessNextdriverReq_avg_arrival,act_ProcessNextdriverReq_avg_duration,act_ProcessNextdriverReq_whole_duration,act_ProcessNextdriverReq_avgwaiting_time,act_ProcessNextdriverReq_wholewaiting_time,act_ProcessNextdriverReq_waiting_events,act_ProcessNextdriverReq_finished_events,act_ProcessNextdriverReq_idle_time,act_ProcessNextdriverReq_inprocess_events,act_ProcessNextdriverReq_unique_resources,act_ProcessNextdriverReq_engaged_resources
52,0.3397222222222222,17.666666666666668,0.6669871794871796,34.68333333333334,42,52,23.85638888888889,0,1,52
34,0.3488888888888889,11.866666666666667,0.6049019607843137,20.566666666666666,25,34,23.835277777777776,0,1,34
62,0.33361111111111114,20.7,0.8577956989247312,53.18333333333333,51,62,23.84888888888889,0,1,62
64,0.31722222222222224,20.316666666666666,1.1223958333333333,71.83333333333333,60,64,23.84111111111111,0,1,64
75,0.3244444444444444,0.3333333333333333,0.9011111111111111,67.58333333333333,67,75,23.839166666666667,0,1,75
20,0.3983333333333333,7.966666666666667,0.09,1.7999999999999998,9,20,0.02277777777777778,0,1,20
37,0.3688888888888889,13.65,0.32747747747747746,12.116666666666667,24,37,23.928055555555556,0,1,37
36,0.3675,13.233333333333333,0.31666666666666676,11.400000000000004,24,36,23.908055555555556,0,1,36
47,0.33916666666666667,15.95,0.5819148936170212,27.349999999999998,40,47,23.83138888888889,0,1,47
43,0.35694444444444445,15.35,0.5515503875968992,23.716666666666665,31,43,23.913888888888888,0,1,43
41,0.35555555555555557,14.583333333333334,0.41341463414634144,16.95,30,41,23.84027777777778,0,1,41
35,0.3775,13.216666666666667,0.370952380952381,12.983333333333334,20,35,23.93611111111111,0,1,35
66,0.3219444444444444,21.25,1.0186868686868686,67.23333333333333,59,66,23.839444444444446,0,1,66
45,0.34833333333333333,15.683333333333334,0.6422222222222221,28.9,33,45,23.845277777777778,0,1,45
46,0.3386111111111111,15.583333333333334,0.6749999999999999,31.049999999999997,37,46,23.836944444444445,0,1,46
62,0.34194444444444444,21.216666666666665,0.642741935483871,39.85,51,62,23.84,0,1,62
56,0.33166666666666667,18.583333333333332,0.7636904761904761,42.766666666666666,49,56,23.834444444444443,0,1,56
64,0.3244444444444444,20.766666666666666,1.1489583333333333,73.53333333333333,54,64,23.8475,0,1,64
52,0.35694444444444445,18.566666666666666,0.3432692307692307,17.849999999999998,37,52,23.826666666666668,0,1,52
31,0.35305555555555557,10.95,0.48978494623655916,15.183333333333334,24,31,23.88222222222222,0,1,31
36,0.3738888888888889,13.466666666666667,0.31574074074074077,11.366666666666667,20,36,23.90888888888889,0,1,36
41,0.34,13.95,0.6788617886178862,27.833333333333332,34,41,23.925833333333333,0,1,41
61,0.3333333333333333,20.35,0.6494535519125685,39.616666666666674,52,61,23.834722222222222,0,1,61
50,0.32861111111111113,16.433333333333334,1.0796666666666668,53.983333333333334,41,50,23.906666666666666,0,1,50
59,0.3377777777777778,19.933333333333334,0.7915254237288136,46.7,50,59,23.844722222222224,0,1,59
44,0.36194444444444446,15.933333333333334,0.4200757575757576,18.483333333333334,30,44,23.84611111111111,0,1,44
37,0.35944444444444446,13.3,0.5567567567567567,20.599999999999998,26,37,23.89666666666667,0,1,37
55,0.35444444444444445,19.5,0.4248484848484849,23.36666666666667,40,55,23.843333333333334,0,1,55
58,0.33611111111111114,19.5,0.6396551724137931,37.1,50,58,23.833333333333332,0,1,58
68,0.325,22.1,1.2916666666666665,87.83333333333333,58,68,23.85972222222222,0,1,68
28,0.36666666666666664,10.266666666666667,0.3327380952380952,9.316666666666666,19,28,23.872222222222224,0,1,28
32,0.39,12.483333333333333,0.17864583333333334,5.716666666666667,15,32,23.949444444444445,0,1,32
43,0.3591666666666667,15.45,0.4255813953488372,18.3,30,43,23.870555555555555,0,1,43
45,0.3491666666666667,15.716666666666667,0.48999999999999994,22.049999999999997,36,45,23.857777777777777,0,1,45
27,0.39805555555555555,10.75,0.09506172839506172,2.5666666666666664,11,27,23.99222222222222,0,1,27
46,0.3425,15.766666666666667,0.7155797101449276,32.91666666666667,36,46,23.840555555555557,0,1,46
37,0.38333333333333336,14.183333333333334,0.20675675675675675,7.65,21,37,23.925833333333333,0,1,37
44,0.3491666666666667,15.366666666666667,0.5367424242424241,23.616666666666664,35,44,23.872222222222224,0,1,44
53,0.3347222222222222,17.75,0.7314465408805031,38.766666666666666,44,53,23.84,0,1,53
39,0.35638888888888887,13.9,0.48205128205128206,18.8,27,39,23.930555555555557,0,1,39
47,0.34055555555555556,16.016666666666666,0.5308510638297873,24.950000000000003,39,47,23.83416666666667,0,1,47
36,0.36972222222222223,13.316666666666666,0.3199074074074074,11.516666666666667,24,36,23.94333333333333,0,1,36
56,0.3377777777777778,18.916666666666668,0.6550595238095239,36.68333333333334,46,56,23.83138888888889,0,1,56
40,0.3441666666666667,13.766666666666667,0.65625,26.25,32,40,23.877222222222223,0,1,40
43,0.3522222222222222,15.15,0.553875968992248,23.816666666666666,31,43,23.878055555555555,0,1,43
42,0.35194444444444445,14.783333333333333,0.48730158730158724,20.466666666666665,32,42,23.886111111111113,0,1,42
30,0.38,11.4,0.26222222222222225,7.866666666666667,16,30,23.913055555555555,0,1,30
36,0.3638888888888889,13.1,0.29537037037037034,10.633333333333333,23,36,23.854166666666668,0,1,36
35,0.3547222222222222,12.416666666666666,0.42142857142857143,14.75,26,35,23.886111111111113,0,1,35
35,0.36027777777777775,12.616666666666667,0.37238095238095237,13.033333333333333,25,35,23.891111111111112,0,1,35
44,0.3402777777777778,14.983333333333333,0.709090909090909,31.199999999999996,36,44,23.845555555555556,0,1,44
44,0.35333333333333333,15.55,0.4431818181818182,19.5,33,44,23.879444444444445,0,1,44
45,0.3461111111111111,15.583333333333334,0.6292592592592592,28.316666666666663,34,45,23.89,0,1,45
32,0.37805555555555553,12.1,0.2328125,7.45,20,32,23.906944444444445,0,1,32
33,0.3472222222222222,11.466666666666667,0.6489898989898989,21.416666666666664,25,33,23.870277777777776,0,1,33
32,0.3786111111111111,12.116666666666667,0.2427083333333333,7.766666666666666,17,32,23.880555555555556,0,1,32
39,0.35083333333333333,13.683333333333334,0.6641025641025642,25.900000000000002,28,39,23.865277777777777,0,1,39
37,0.35833333333333334,13.266666666666667,0.46711711711711706,17.28333333333333,24,37,23.87638888888889,0,1,37
37,0.36777777777777776,13.616666666666667,0.3270270270270271,12.100000000000001,24,37,23.866666666666667,0,1,37
34,0.3713888888888889,12.633333333333333,0.3715686274509804,12.633333333333333,20,34,23.872222222222224,0,1,34
50,0.33444444444444443,16.733333333333334,0.882,44.1,41,50,23.855555555555554,0,1,50
40,0.3561111111111111,14.25,0.4683333333333334,18.733333333333334,29,40,23.875833333333333,0,1,40
38,0.34944444444444445,13.283333333333333,0.5144736842105264,19.550000000000004,29,38,23.888055555555557,0,1,38
40,0.3461111111111111,13.85,0.5808333333333333,23.233333333333334,31,40,23.88277777777778,0,1,40
40,0.3541666666666667,14.166666666666666,0.5479166666666666,21.916666666666664,28,40,23.866944444444446,0,1,40
47,0.3411111111111111,16.033333333333335,0.7425531914893617,34.9,38,47,23.861944444444443,0,1,47
44,0.35138888888888886,15.466666666666667,0.5590909090909091,24.599999999999998,32,44,23.88083333333333,0,1,44
37,0.36527777777777776,13.516666666666667,0.3869369369369369,14.316666666666666,25,37,23.898611111111112,0,1,37
40,0.36027777777777775,14.416666666666666,0.5279166666666667,21.116666666666667,27,40,23.871666666666666,0,1,40
46,0.34194444444444444,15.733333333333333,0.6927536231884057,31.866666666666664,36,46,23.852777777777778,0,1,46
52,0.33666666666666667,17.516666666666666,0.8987179487179486,46.73333333333333,42,52,23.845555555555556,0,1,52
43,0.3641666666666667,15.666666666666666,0.34806201550387594,14.966666666666665,29,43,23.874444444444446,0,1,43
32,0.38416666666666666,12.3,0.24270833333333333,7.766666666666667,15,32,23.886388888888888,0,1,32
56,0.3441666666666667,19.283333333333335,0.6404761904761905,35.86666666666667,44,56,23.828055555555554,0,1,56
29,0.3738888888888889,10.85,0.30517241379310345,8.85,18,29,23.949166666666667,0,1,29
36,0.36138888888888887,13.016666666666667,0.5319444444444446,19.150000000000002,24,36,23.938333333333333,0,1,36
