act_AcceptDriverReq_avg_arrival,act_AcceptDriverReq_avg_duration,act_AcceptDriverReq_whole_duration,act_AcceptDriverReq_avgwaiting_time,act_AcceptDriverReq_wholewaiting_time,act_AcceptDriverReq_waiting_events,act_AcceptDriverReq_finished_events,act_AcceptDriverReq_idle_time,act_AcceptDriverReq_inprocess_events,act_AcceptDriverReq_unique_resources,act_AcceptDriverReq_engaged_resources
63,0.3288888888888889,20.733333333333334,0.0,0.0,0,63,23.7975,0,1,63
47,0.3502777777777778,16.466666666666665,0.0,0.0,0,47,23.841666666666665,0,1,47
59,0.3363888888888889,19.85,0.0,0.0,0,59,23.799444444444443,0,1,59
47,0.3566666666666667,16.766666666666666,0.0,0.0,0,47,23.86111111111111,0,1,47
39,0.3686111111111111,14.383333333333333,0.0,0.0,0,39,23.891666666666666,0,1,39
49,0.3547222222222222,17.383333333333333,0.0,0.0,0,49,23.829166666666666,0,1,49
41,0.35805555555555557,14.683333333333334,0.0,0.0,0,41,23.834444444444443,0,1,41
35,0.3461111111111111,12.116666666666667,0.0,0.0,0,35,23.885555555555555,0,1,35
40,0.35833333333333334,14.333333333333334,0.0,0.0,0,40,23.872222222222224,0,1,40
38,0.33944444444444444,12.9,0.0,0.0,0,38,23.836666666666666,0,1,38
44,0.34694444444444444,15.266666666666667,0.0,0.0,0,44,23.8575,0,1,44
37,0.3575,13.233333333333333,0.0,0.0,0,37,23.858333333333334,0,1,37
38,0.36833333333333335,14.0,0.0,0.0,0,38,23.872777777777777,0,1,38
41,0.3566666666666667,14.633333333333333,0.0,0.0,0,41,23.8425,0,1,41
32,0.36444444444444446,11.666666666666666,0.0,0.0,0,32,23.892222222222223,0,1,32
28,0.3861111111111111,10.816666666666666,0.0,0.0,0,28,23.93888888888889,0,1,28
41,0.3458333333333333,14.183333333333334,0.0,0.0,0,41,23.87527777777778,0,1,41
28,0.38666666666666666,10.833333333333334,0.0,0.0,0,28,23.904166666666665,0,1,28
35,0.37027777777777776,12.966666666666667,0.0,0.0,0,35,23.89361111111111,0,1,35
40,0.3383333333333333,13.533333333333333,0.0,0.0,0,40,23.835833333333333,0,1,40
39,0.3472222222222222,13.55,0.0,0.0,0,39,23.83361111111111,0,1,39
46,0.3388888888888889,15.6,0.0,0.0,0,46,23.837777777777777,0,1,46
46,0.35055555555555556,16.133333333333333,0.0,0.0,0,46,23.82611111111111,0,1,46
39,0.3511111111111111,13.7,0.0,0.0,0,39,23.856944444444444,0,1,39
39,0.3502777777777778,13.666666666666666,0.0,0.0,0,39,23.830555555555556,0,1,39
37,0.36194444444444446,13.4,0.0,0.0,0,37,23.829166666666666,0,1,37
37,0.3641666666666667,13.483333333333333,0.0,0.0,0,37,23.856944444444444,0,1,37
40,0.3552777777777778,14.216666666666667,0.0,0.0,0,40,23.84888888888889,0,1,40
38,0.35777777777777775,13.6,0.0,0.0,0,38,23.85472222222222,0,1,38
38,0.36694444444444446,13.95,0.0,0.0,0,38,23.84888888888889,0,1,38
28,0.36833333333333335,10.316666666666666,0.0,0.0,0,28,23.96527777777778,0,1,28
40,0.3552777777777778,14.216666666666667,0.0,0.0,0,40,23.873333333333335,0,1,40
36,0.3527777777777778,12.7,0.0,0.0,0,36,23.844166666666666,0,1,36
36,0.35083333333333333,12.633333333333333,0.0,0.0,0,36,23.846944444444443,0,1,36
40,0.3536111111111111,14.15,0.0,0.0,0,40,23.86916666666667,0,1,40
43,0.3388888888888889,14.583333333333334,0.0,0.0,0,43,23.82611111111111,0,1,43
35,0.36277777777777775,12.7,0.0,0.0,0,35,23.8675,0,1,35
42,0.34555555555555556,14.516666666666667,0.0,0.0,0,42,23.820555555555554,0,1,42
38,0.35694444444444445,13.566666666666666,0.0,0.0,0,38,23.852222222222224,0,1,38
47,0.35305555555555557,16.6,0.0,0.0,0,47,23.841666666666665,0,1,47
33,0.3883333333333333,12.816666666666666,0.0,0.0,0,33,23.89472222222222,0,1,33
35,0.365,12.783333333333333,0.0,0.0,0,35,23.894444444444446,0,1,35
39,0.34694444444444444,13.533333333333333,0.0,0.0,0,39,23.862222222222222,0,1,39
36,0.3680555555555556,13.25,0.0,0.0,0,36,23.886944444444445,0,1,36
32,0.37222222222222223,11.916666666666666,0.0,0.0,0,32,23.84777777777778,0,1,32
46,0.34305555555555556,15.783333333333333,0.0,0.0,0,46,23.85611111111111,0,1,46
47,0.3438888888888889,16.166666666666668,0.0,0.0,0,47,23.851388888888888,0,1,47
46,0.3408333333333333,15.683333333333334,0.0,0.0,0,46,23.857222222222223,0,1,46
48,0.33611111111111114,16.133333333333333,0.0,0.0,0,48,23.810277777777777,0,1,48
40,0.355,14.2,0.0,0.0,0,40,23.87472222222222,0,1,40
53,0.35194444444444445,18.666666666666668,0.0,0.0,0,53,23.815277777777776,0,1,53
31,0.3611111111111111,11.2,0.0,0.0,0,31,23.942222222222224,0,1,31
33,0.3861111111111111,12.75,0.0,0.0,0,33,23.916944444444443,0,1,33
54,0.3433333333333333,18.55,0.0,0.0,0,54,23.822222222222223,0,1,54
35,0.35333333333333333,12.366666666666667,0.0,0.0,0,35,23.878888888888888,0,1,35
