Finished cases,Num in process cases,Number of rejected cases,Finished cases,Arrival rate,Process active time,Number of unique resources,Number of experts resources,Service time per case
890.383,2449.25,2391.59,890.383,52.4443,29235.2,6,0,11.9364
902.32,2489.76,2432.09,902.32,49.3551,26891.4,6,0,10.8008
913.12,2528.32,2470.65,913.12,40.2998,31023.6,6,0,12.2705
925.391,2556.35,2498.68,925.391,52.951,32421.5,6,0,12.6827
938.074,2596.61,2538.95,938.074,50.3294,33576.4,6,0,12.9309
951.004,2634.01,2576.34,951.004,41.3835,26521,6,0,10.0687
961.073,2665.33,2607.66,961.073,39.9041,30345,6,0,11.3851
972.458,2693.85,2636.18,972.458,46.1969,34021.6,6,0,12.6294
985.088,2727.41,2669.75,985.088,53.4249,38591.2,6,0,14.1494
999.237,2766.69,2709.02,999.237,51.963,28011.6,6,0,10.1246
1009.36,2808.53,2750.86,1009.36,52.3165,33033.5,6,0,11.7619
1021.12,2849.08,2791.41,1021.12,55.3021,32183.7,6,0,11.2961
1032.42,2893.09,2835.42,1032.42,41.2014,38250.4,6,0,13.2213
1045.64,2921.07,2863.4,1045.64,41.0087,37547.6,6,0,12.854
1058.49,2949.22,2891.56,1058.49,48.2943,40442.8,6,0,13.713
1072.21,2983.81,2926.14,1072.21,42.0232,41071.6,6,0,13.7649
1085.97,3012.06,2954.4,1085.97,47.9603,30887.1,6,0,10.2545
1096.23,3049.77,2992.1,1096.23,37.9236,37825.4,6,0,12.4027
1108.63,3075.29,3017.62,1108.63,49.0871,32192.8,6,0,10.4682
1119.1,3113.91,3056.24,1119.1,49.1234,42632.7,6,0,13.6911
1132.79,3149.34,3091.67,1132.79,38.2487,33794.3,6,0,10.7306
1143.52,3176.86,3119.19,1143.52,51.6363,32080.5,6,0,10.0982
1153.62,3218.4,3160.73,1153.62,44.8396,43485.8,6,0,13.5116
1167.13,3249.73,3192.06,1167.13,50.9651,35532.5,6,0,10.934
1178.06,3289.76,3232.09,1178.06,47.3299,33184.6,6,0,10.0872
1188.15,3327,3269.33,1188.15,53.7006,48124.4,3,3,14.4648
1202.62,3366.24,3308.57,1202.62,50.1294,51217.7,1.5,4.5,15.2151
1217.83,3401.15,3343.48,1217.83,42.9078,61395.6,0.75,5.25,18.0514
1235.88,3426.01,3368.34,1235.88,49.399,47749.7,0.375,5.625,13.9374
1249.82,3461.47,3403.8,1249.82,55.8418,77292.5,0.1875,5.8125,22.3294
1272.15,3494.98,3437.31,1272.15,40.0997,54644.1,0.09375,5.90625,15.635
1287.78,3519.44,3461.78,1287.78,55.3929,52988.3,0.046875,5.95313,15.0559
1302.84,3559.78,3502.11,1302.84,54.5901,79060.3,0.0234375,5.97656,22.2093
1325.05,3592.16,3534.49,1325.05,50.7506,48778.9,0.0117188,5.98828,13.5793
1338.63,3629.33,3571.67,1338.63,42.8086,55002.5,0.00585938,5.99414,15.155
1353.78,3656.99,3599.32,1353.78,44.247,61884,0.00292969,5.99707,16.9221
1370.71,3684.31,3626.64,1370.71,40.8468,53334.7,0.00146484,5.99854,14.4762
1385.18,3710.68,3653.01,1385.18,55.3352,66829.8,0.000732422,5.99927,18.0101
1403.19,3748.01,3690.34,1403.19,56.008,75756,0.000366211,5.99963,20.2123
1423.4,3783.8,3726.14,1423.4,44.9254,62539.7,0.000183105,5.99982,16.5283
1439.93,3812.2,3.75E+03,1439.93,40.3194,57160.7,9.16E-05,5.99991,14.9941
1454.93,3837.53,3.78E+03,1454.93,38.0227,68321.4,4.58E-05,5.99995,17.8035
1472.73,3857.75,3.80E+03,1472.73,41.4177,71580.8,2.29E-05,5.99998,18.5551
1491.29,3880.61,3.82E+03,1491.29,44.4024,85281.9,1.14E-05,5.99999,21.9764
1513.26,3903.03,3.85E+03,1513.26,46.0106,61894.9,5.72E-06,5.99999,15.8582
1529.12,3933.19,3.88E+03,1529.12,55.7285,63292.2,2.86E-06,6,16.0918
1545.21,3972.82,3.92E+03,1545.21,45.8652,64146.1,1.43E-06,6,16.1462
1561.36,4002.54,3.94E+03,1561.36,46.0958,74242.4,7.15E-07,6,18.5488
1579.91,4030.09,3.97E+03,1579.91,39.2255,96415.1,3.58E-07,6,23.9238
1603.83,4045.39,3.99E+03,1603.83,54.4172,60787.9,1.79E-07,6,15.0265
1618.86,4084.78,4.03E+03,1618.86,47.0469,63475.4,8.94E-08,6,15.5395
1634.4,4116.29,4.06E+03,1634.4,50.0581,76335.4,4.47E-08,6,18.5447
1652.94,4147.8,4.09E+03,1652.94,47.1601,78140.8,2.24E-08,6,18.8391
1671.78,4176.12,4.12E+03,1671.78,39.0697,94326,1.12E-08,6,22.587
1694.37,4192.61,4.13E+03,1694.37,46.9661,74913.9,5.59E-09,6,17.8681
1712.24,4221.7,4.16E+03,1712.24,44.3027,71927.8,2.79E-09,6,17.0376
1729.27,4248.97,4.19E+03,1729.27,41.3136,68441.3,1.40E-09,6,16.1078
1745.38,4274.17,4.22E+03,1745.38,49.6461,57659.7,6.98E-10,6,13.4903
1758.87,4310.33,4.25E+03,1758.87,43.8052,67583.2,3.49E-10,6,15.6793
1774.55,4338.46,4.28E+03,1774.55,55.8943,97357,1.75E-10,6,22.4405
1796.99,4371.91,4.31E+03,1796.99,45.3768,87715,8.73E-11,6,20.0633
1817.05,4397.22,4.34E+03,1817.05,39.6875,86976.4,4.37E-11,6,19.7799
1836.83,4417.13,4.36E+03,1836.83,49.3632,77522.2,2.18E-11,6,17.5504
1854.38,4448.94,4.39E+03,1854.38,46.0293,62435,1.09E-11,6,14.0337
1868.42,4480.94,4.42E+03,1868.42,50.2545,65078.3,5.46E-12,6,14.5234
1882.94,4516.67,4.46E+03,1882.94,55.8718,72296.9,2.73E-12,6,16.0067
1898.95,4556.54,4.50E+03,1898.95,50.6649,64318,1.36E-12,6,14.1156
1913.06,4593.09,4.54E+03,1913.06,38.036,63739.5,6.82E-13,6,13.8773
1926.94,4617.24,4.56E+03,1926.94,45.1234,94652.8,3.41E-13,6,20.4999
1947.44,4641.87,4.58E+03,1947.44,46.3601,77712.1,1.71E-13,6,16.7416
1964.18,4671.49,4.61E+03,1964.18,37.6171,67655.9,8.53E-14,6,14.4827
1978.67,4694.62,4.64E+03,1978.67,42.5877,75856.2,4.26E-14,6,16.1581
1994.82,4721.05,4.66E+03,1994.82,51.7276,92721.2,2.13E-14,6,19.64
2014.46,4753.14,4.70E+03,2014.46,51.0311,106090,1.07E-14,6,22.3201
2036.78,4781.85,4.72E+03,2036.78,52.3969,85405.5,5.33E-15,6,17.8604
2054.64,4816.39,4.76E+03,2054.64,44.0013,75612.6,2.66E-15,6,15.699
2070.34,4844.69,4.79E+03,2070.34,49.2546,94302.6,1.33E-15,6,19.4652
2089.81,4874.48,4.82E+03,2089.81,50.0104,107299,6.66E-16,6,22.0124
2111.82,4902.48,4.84E+03,2111.82,39.6937,80061.3,3.33E-16,6,16.3308
2128.15,4925.84,4.87E+03,2128.15,37.7592,78747.7,1.67E-16,6,15.9867
2144.14,4947.61,4.89E+03,2144.14,48.8957,94430.6,8.33E-17,6,19.0861
2163.22,4977.42,4.92E+03,2163.22,48.9096,76593,4.16E-17,6,15.3881
2178.61,5010.94,4.95E+03,2178.61,50.9751,71209.7,2.08E-17,6,14.2108
2192.82,5047.71,4.99E+03,2192.82,47.3255,80380.3,1.04E-17,6,15.9241
2208.75,5079.11,5.02E+03,2208.75,48.0535,89237.9,5.20E-18,6,17.5696
2226.32,5109.59,5.05E+03,2226.32,52.4465,87085.8,2.60E-18,6,17.0436
2243.36,5144.99,5.09E+03,2243.36,47.8892,82895.8,1.30E-18,6,16.1119
2259.47,5176.77,5.12E+03,2259.47,43.7431,105724,6.51E-19,6,20.4228
2279.89,5200.09,5.14E+03,2279.89,46.5316,82790.1,3.25E-19,6,15.9209
2295.82,5230.7,5.17E+03,2295.82,54.411,103137,1.63E-19,6,19.7177
